Transposition,Einbau eines DNA-Segments an einen anderen Ort im Genom.
Transposon,Transposable Element - eine mobile Nukleinsäuresequenz (Mobiles genetisches Element) mit der Fähigkeit zur Transposition
Retrotransposon,"Ein Transposon, das über eine RNA-Form mobilisiert; das DNA-Element wird in RNA transkribiert und anschließend in DNA revers transkribiert, die an einer neuen Stelle im Genom inseriert wird. Es besitzt keine infektiöse (virale) Form."
Telomerase,"Das Ribonukleoprotein-Enzym, das am Telomer sich wiederholende Einheiten aus einem Strang bildet, indem es einzelne Basen an das 3′-Ende der DNA anfügt, gemäß der Vorgabe einer RNA-Sequenz in der RNA-Komponente des Enzyms. (Lewin)"
Replikon,"Replikationseinheit der Erbsubstanz, die einen Startpunkt der Replikation enthält und zur autonomen Replikation befähigt ist. (Allgemeine Genetik)"
Topoisomerase,"Ein Enzym, das die Anzahl der Kreuzungspunkte der beiden Stränge in einem geschlossenen DNA-Molekül verändert. Dazu spaltet es die DNA, führt die DNA durch den Bruch und verbindet die DNA wieder miteinander. (Lewin)"
essentielles Gen,Der ``Phänotyp'' einer Mutante mit einem Defekt in solchen Genen ist ``nicht lebensfähig'' (lethal). (Vorlesung 3)
redundantes Gen,Der Phänotyp einer Mutante mit einem Defekt in solchen Genen ist nicht unterscheidbar vom Wildtyp. (Vorlesung 3)
prozessierte Pseudogene,"Pseudogene, die durch reverse Transkription und Integration von mRNA-Transkripten entstehen."
nicht-prozessierte Pseudogene,"Pseudogene, die durch unvollständige Duplikation oder Mutation der zweiten Kopie funktioneller Gene entstehen."
Pseudogen,"Gene, die ihre Fähigkeit verloren haben, funktionsfähige Versionen der Polypeptide zu produzieren, für die sie ursprünglich kodierten. Die Gründe für ihre Inaktivität sind vielfältig: Die Defizite können bei der Transkription, der Translation oder bei beiden liegen. Sie können nicht funktionsfähig sein oder eine veränderte Funktion aufweisen, und die RNA-Produkte könnten regulatorische Funktionen erfüllen. (Lewin)"
Superfamilie,"Eine Gruppe von Genen, die alle durch eine vermutete Abstammung von einem gemeinsamen Vorfahren miteinander verbunden sind, mittlerweile jedoch erhebliche Unterschiede aufweisen. (Lewin)"
Genfamilie,"Eine Gruppe von Genen, die infolge von Genduplikationen verwandte oder identische Produkte kodieren. Nach dem ersten Duplikationsvorgang sind die beiden Kopien identisch, divergieren jedoch anschließend, da sich in ihnen unterschiedliche Mutationen ansammeln. Weitere Duplikationen und Divergenzen erweitern die Familie. (Lewin)"
Alu-Element,"Eine von mehreren verstreuten, miteinander verwandten Sequenzen, die jeweils etwa 300 bp lang sind, im menschlichen Genom (Mitglieder der SINE-Familie). Die einzelnen Mitglieder weisen an beiden Enden Alu-Schnittstellen auf. (Lewin)"
LINE,"Eine wichtige Klasse von Retrotransposons, die etwa 21\% des menschlichen Genoms ausmachen. (Lewin)"
SINE,"Eine bedeutende Klasse kurzer (weniger als 500 bp) nicht-autonomer Retrotransposons, die etwa 13 \% des menschlichen Genoms einnehmen. (Lewin)"
Restriktionskarte,"eine lineare Abfolge von Stellen auf der DNA, die durch definierte Abstände voneinander getrennt sind bzw. die Darstellung einer linearen Abfolge der Stellen, an denen bestimmte Restriktionsenzyme ihre Zielstellen finden. Wird ein DNA-Molekül mit einem geeigneten Restriktionsenzym geschnitten, wird es in einzelne, negativ geladene Fragmente gespalten. Diese Fragmente lassen sich anhand ihrer Größe durch Gelelektrophorese trennen. Durch die Analyse der Restriktionsfragmente der DNA ist es möglich, eine Karte des ursprünglichen Moleküls zu erstellen."
Polygenie,Wenn ein einzelnes Merkmal von mehreren Genen beeinflusst wird. Bspw. durch Epistasie oder Kopplung
mRNA,"Messenger-RNA; RNA, die die genetische Information von der DNA zu den Ribosomen überträgt und als Vorlage für die Proteinsynthese dient."
Ribonukleoprotein,Ein Komplex aus RNA und Proteinen. Größere Komplexe werden manchmal als Ribonukleoprotein-Partikel bezeichnet. (Lewin)
monocistronisch,nur für ein Polypeptid kodierend
polycistronisch,Kodierend für mehrere Polypedtide
Operon,"enetische Funktionseinheit bei des Zellkerns.Bakterien, die aus einer Gruppe von Genen besteht, die über einen gemeinsamen Promotor reguliert werden und eine gemeinsame mRNA (Messenger) produzieren, die für mehrere Proteine kodiert. (Allgemeine Genetik)"
trans-Element,"Transkriptionsfaktoren (Proteine), die an die cis-Elemente binden"
cis-Element,"regulatorische Elemente im Promotor, ``in'' der DNA"
Nondisjunction,"Das fehlende Auseinanderweichen von zwei homologen Chromosomen bei der Meiose I oder das Nichttrennen von Schwesterchromatiden durch eine Störung der Anaphase während der Mitose, Meiose I oder der Meiose II."
Aneuploidie,bweichung von der normalen Chromosomenzahl ganzer Chromosomensätze. (Allgemeine Genetik)
Chromatin-Remodellierung,"Die dynamische Anpassung der Struktur des Erbguts bei Lebewesen mit Zellkern. Es wird beispielsweise die Zugänglichkeit der genomischen DNA variiert, wodurch die Genexpression kontrolliert werden kann. Dies wird durch kovalente Histonmodifikationen mithilfe spezifischer Enzyme (z. B. Histonacetyltransferasen [HATs], Deacetylasen, Methyltransferasen und Kinasen) und durch ATP-abhängige Chromatin-Remodelling-Komplexe, die Nukleosomen entweder verschieben, ausstoßen oder restrukturieren können, gewährleistet."
Genkonversion,"nicht-reziproke Form der Rekombination innerhalb eines Gens, bei in der ein Allel in das homologe Allel umgewandelt wird."
Chromatid,Einer der beiden Chromosomenstränge nach der Replikation des Chromosoms in der S-Phase des Zellzyklus
Chromosom,"Fädige Chromatinstruktur im Zellkern, Träger des genetischen Materials (DNA). Vor einer Zellteilung besteht ein C. aus 2 parallelen Chromatiden (2-Chromatid-Chromo- som), die am Centromer miteinander verbunden sind."
Minisatellit,"Abschnitte der DNA im Genom bezeichnet, die aus tandemartigen Wiederholungen einer kurzen (ca. 12–100 Nukleotiden langer) DNA-Sequenz bestehen.; 10–60bp"
Randomly Amplified Polymorphic DNA,"Eine spezielle Form der Polymerase-Kettenreaktion. Es werden kurze Primer mit einer Länge von 8 bis 12 Nukleotiden verwendet, die zufällig erzeugt wurden. Aus genomischer DNA vervielfältigen sich dann nur DNA-Sequenzbereiche, die von der Sequenz des Primers eingeschlossen werden. Mit geeigneten Primern ergeben sich in der Elektrophorese individuelle Bandenmuster, die es erlauben, die Erbsubstanz unterschiedlicher Lebewesen zu vergleichen, ohne diese im Detail zu kennen. Es sind also keine aufwendigen Sequenzierungen erforderlich."
Variable number tandem repeats,=Minisatellit
Single Nucleotid Polymorphism,Unterschiede in einzelnen Nukleotiden
Mikrosatellit,kurze wiederholende Abschnitte; 1–6bp; multi‐allelische polymorphe Marker;
Short Tandem Repeat,"=Mikrosatellit, SSR"
Restriktionsfragmentlängenpolymorphismus,"Die Tatsache, dass genomische DNA verschiedener Individuen unterschiedliche Schnittstellen für Restriktionsenzyme aufweist."
SSR,"=Mikrosatellit, Minisatellit, Short Tandem Repeat"
genetischer Marker,Eine erkennbare DNA-Variation an einer bestimmten Stelle im Genom
dsRNA,"Doppelsträngige RNA (double-stranded RNA); entsteht z.\,B.\ bei Virusinfektionen, durch Transkription invertierter Repeats oder synthetisch. Wird von Dicer in siRNAs prozessiert und löst RNA-Interferenz aus. Wirkt als molekulares Gefahrensignal und aktiviert in Säugern zusätzlich angeborene Immunantworten"
Endonuklease,"Enzym, das Phosphodiesterbindungen innerhalb eines Nukleinsäurestrangs spaltet (im Gegensatz zur Exonuklease, die vom Ende her abbaut)"
Effektorkomplex,"Multimerer Proteinkomplex, der eine regulatorische RNA als Guide nutzt, um spezifische Zielmoleküle zu erkennen und funktionell zu beeinflussen. Im RNAi-Kontext: RISC mit AGO als Kernkomponente; im CRISPR-Kontext: Cas9/sgRNA-Komplex. Verbindet Sequenzspezifität (durch die RNA) mit katalytischer Aktivität (durch das Protein)."
Guide-RNA,"Einzelsträngige RNA, die einen Effektorkomplex durch Basenpaarung zur komplementären Zielsequenz dirigiert. Im RNAi-Kontext: der in RISC geladene miRNA- oder siRNA-Strang; im CRISPR-Kontext: die sgRNA, die Cas9 zur Ziel-DNA leitet."
prä-mRNA,"Unreifes, primäres RNA-Pol-II-Transkript im Zellkern vor der Prozessierung. Enthält Introns und Exons sowie nicht-translatierte Bereiche. Wird durch 5'-Capping, Spleißen (Entfernung der Introns) und 3'-Polyadenylierung zur reifen mRNA prozessiert, die anschließend ins Zytoplasma exportiert wird."
lncRNA,"Long non-coding RNA; nicht-kodierende RNA $>$\,200\,nt ohne signifikantes offenes Leseraster. Reguliert Genexpression auf transkriptioneller (z.\,B.\ Chromatinremodellierung, Rekrutierung von PRC2), post-transkriptioneller und translationaler Ebene"
Dicer,"Evolutionär konservierte RNase-III-Endonuklease, die lange doppelsträngige RNA (dsRNA) oder pre-miRNA in kurze 21--23\,nt-Fragmente mit charakteristischen 2-nt-3'-Überhängen prozessiert (siRNA bzw.\ miRNA (microRNA)). Das Produkt wird anschließend in den RISC-Komplex (RNA-induced silencing complex)-Komplex geladen."
RISC-Komplex (RNA-induced silencing complex),"Effektorkomplex der RNA-Interferenz. Kernkomponente ist ein Argonaute-Protein (AGO), das einen einzelsträngigen Guide-RNA-Strang (siRNA oder miRNA (microRNA)) bindet und komplementäre Ziel-mRNA erkennt. Bei vollständiger Komplementarität erfolgt endonukleolytische Spaltung (Slicer-Aktivität von AGO2); bei partieller Komplementarität wird die Translation reprimiert oder die mRNA destabilisiert."
Knockdown-Analyse,Methode der reversen Genetik zur funktionellen Analyse eines Gens durch gezielte Reduktion (nicht vollständige Elimination) seiner mRNA-Menge.
pre-miRNA,"Ca.\ 60--70\,nt lange Haarnadel-RNA, die durch Drosha- Prozessierung aus der pri-miRNA entsteht. Wird durch Exportin-5 in das Zytoplasma transportiert und dort von Dicer zur reifen miRNA (microRNA) prozessiert."
pri-miRNA,"Primäres RNA-Pol-II-Transkript, das eine oder mehrere Haarnadelstrukturen (Hairpins) enthält. Wird im Zellkern durch den Microprocessor-Komplex (Drosha\,+\,DGCR8) zur ca.\ 60--70\,nt langen pre-miRNA prozessiert."
miRNA-miRNA* Duplex,"Kurzlebiges, ca.\ 21--23\,bp langes RNA-Duplex-Intermediat, das nach Dicer-Prozessierung der pre-miRNA entsteht. Der funktionelle Guide-Strang (miRNA (microRNA)) wird in RISC-Komplex (RNA-induced silencing complex) geladen; der komplementäre Passenger-Strang (miRNA (microRNA)*, auch miRNA-3p) wird meist degradiert. Die Strangauswahl erfolgt anhand der thermodynamischen Stabilität der Duplex-Enden: der Strang mit dem weniger stabilen 5'-Ende wird bevorzugt als Guide-Strang selektiert."
Histon,"Kleine, basische Kernproteine (reich an Lysin und Arginin), die den Histonoktamer des Nukleosoms bilden."
Silencing,"Sequenzspezifische Repression der Genexpression auf transkriptioneller (TGS) oder post-transkriptioneller Ebene (PTGS). Mechanismen umfassen Chromatinkondensation, DNA-Methylierung sowie gezielte Degradierung oder Translationshemmung spezifischer mRNA, z.\,B.\ durch RNA-Interferenz."
RNA-Interferenz (RNAi),"Post-transkriptioneller Gen-Silencing-Mechanismus, bei dem kurze doppelsträngige RNAs (siRNA, miRNA (microRNA)) nach Prozessierung durch Dicer in den RISC-Komplex (RNA-induced silencing complex)-Komplex (RNA-induced silencing complex ) geladen werden. RISC-Komplex (RNA-induced silencing complex) erkennt komplementäre mRNA und bewirkt deren Degradierung (vollständige Komplementarität) oder Translationsrepression (partielle Komplementarität)."
post-transkriptionelles Gene Silencing (PTGS),"Regulation der Genexpression auf mRNA-Ebene nach der Transkription; umfasst zwei Hauptmechanismen: (1) gezielte Degradierung spezifischer mRNA und (2) gezielte Inhibierung ihrer Translation. Wird u.\,a.\ durch RNA-Interferenz (siRNA, miRNA (microRNA)) vermittelt. Bedeutend für endogene Genregulation sowie als Werkzeug der reversen Genetik zur Analyse von Genfunktionen (Knockdown)."
Euchromatin,"dekondensierte DNA (die aber immer noch an Nucleosomen gebunden ist); aktiv, hat transkribierte Regionen"
Heterochromatin,"hochverpackte, nicht zugängliche DNA in Metaphasechromosomen oder selektiv kondensierten Genomabschnitten; ist Transkriptions-inaktiv und wird spät repliziert"
Linker-DNA,"DNA-Abschnitt (10--80\,bp) zwischen zwei aufeinanderfolgenden Nukleosomen; frei zugänglich für Nukleasen (z.\,B.\ MNase) und Transkriptionsfaktoren. Wird durch Histon H1 stabilisiert und beim vollständigen MNase-Verdau als erstes abgebaut."
Core-Nukleosom,"Minimale Nukleosomeneinheit nach Verdau der Linker-DNA: 147\,bp DNA, die 1{,}65-mal linkshändig um den Core-Oktamer gewickelt sind. Enthält kein Histon H1; entspricht dem nucleosome core particle (NCP) in der Kristallstruktur."
Core-Oktamer,"Proteinkern des Nukleosoms aus acht Core-Histonen: ein (H3$_2$--H4$_2$)-Tetramer als zentrale Grundstruktur, flankiert von zwei H2A--H2B-Dimeren. Hoch symmetrisch aufgebaut mit pseudo-dyadischer Symmetrieachse."
10-nm-Faser (Nukleosomenfilament),Erste Verdichtungsstufe des Chromatins; entspricht der Perlenketten-Struktur (``beads-on-a-string''): Nukleosomen sind durch Linker-DNA verbunden
30-nm-Faser (30-nm Fibrille),Zweite Verdichtungsstufe durch Aufwindung der 10-nm-Faser zu einer kompakteren Helix Histon H1 ist für die Stabilisierung essentiell.
Nukleosom,"Grundlegende Verpackungseinheit des eukaryotischen Chromatins: ca. 147\,bp DNA sind 1{,}65-mal linkshändig um einen Histonoktamer (je zwei Kopien von H2A, H2B, H3 und H4) gewickelt"
Sigma-Faktor,"Unterheit der bakteriellen RNA-Polymerase, die die spezifische Erkennung von Promotorsequenzen ermöglicht und die Initiation der Transkription steuert."
RBS,"Purinreiche Sequenz in prokaryotischen mRNA (Konsensus: 5'-AGGAGG-3'), die ca. 5--10\,nt upstream des Startcodons liegt und durch komplementäre Basenpaarung mit der 16S-rRNA die Ribosomenbindung vermittelt."
Codon-Anticodon Wechselwirkung,Antiparallele Basenpaarung zwischen dem mRNA-Codon (5'$\to$3') und dem tRNA-Anticodon (3'$\to$5') an der A-Stelle des Ribosoms; bestimmt die Aminosäure-Zuordnung gemäß dem genetischen Code.
Wobble-Position,"Dritte Codonposition (3'), an der nicht-Watson-Crick-Basenpaarungen toleriert werden. Ermöglicht einer tRNA die Erkennung mehrerer synonymer Codons (z.\,B. G\,:\,U-Paar)."
Anticodon,"Drei Nucleotide an Position 34--36 der tRNA-Sequenz, die durch komplementäre Basenpaarung mit dem mRNA-Codon die korrekte Aminosäure in die Peptidkette einführen."
Aminoacyl-tRNA-Synthetasen,"Enzyme, die unter ATP-Verbrauch eine Aminosäure kovalent an das 3'-CCA-Ende der zugehörigen tRNA knüpfen (Aminoacylierung). Gewährleisten die korrekte Codon-Aminosäure-Zuordnung (zweiter genetischer Code)."
Pseudouridin,"Häufigste RNA-Modifikation ($\Psi$); C-glykosidische Umlagerung von Uridin, bei der C5 statt N1 die glykosidische Bindung trägt. Stabilisiert Sekundärstrukturen durch verbesserte Basenstapelung."
Dihydrouridin,"Modifiziertes Uridin mit gesättigter C5--C6-Doppelbindung, vorwiegend in der D-Schleife der tRNA. Erhöht die Flexibilität der tRNA durch Destabilisierung der Stapelwechselwirkungen."
Kleeblatt-Struktur,"Zweidimensionale Sekundärstruktur der tRNA mit vier Doppelstrang-Helices (Akzeptor-, D-, Anticodon- und T$\Psi$C-Arm) und drei Schleifen; Grundlage der L-förmigen 3D-Tertiärstruktur."
Heterosom,"Geschlechtschromosom (Allosom), das sich strukturell oder im Replikationsverhalten vom Autosomensatz unterscheidet"
Autosom,"Nicht-geschlechtsbestimmendes Chromosom; beim Menschen 22 homologe Paare, die in beiden Geschlechtern identisch vorliegen."
Centimorgan,"Genetische Karteneinheit; entspricht 1\,\% Rekombinationsfrequenz zwischen zwei Loci. Näherungsweise: 1\, cM $\approx$ 1\,Mb beim Menschen."
Zwei-Chromatid-Chromosom,"Repliziertes Chromosom, das aus zwei genetisch identischen Schwesterchromatiden besteht, die am Centromer durch Cohesin zusammengehalten werden; entsteht nach der S-Phase."
Mutagenese,Entstehung oder gezielte Herbeiführung von Mutationen im Erbgut durch endogene (Replikationsfehler) oder exogene Einwirkung (Mutagene).
physikalische Mutagenese,"Mutationsauslösung durch energiereiche Strahlung: ionisierende Strahlung (Röntgen, $\gamma$) verursacht Strangbrüche und Basenmodifikationen; UV-Licht induziert Pyrimidin-Dimere."
chemische Mutagenese,Mutationsauslösung durch chemische Agenzien
Codon,"Basentriplett in der mRNA, das für eine bestimmte Aminosäure oder ein Stop-Signal während der Translation codiert."
Aminoacyl-tRNA,"Mit einer spezifischen Aminosäure beladene tRNA, die durch Aminoacyl-tRNA-Synthetasen erzeugt wird und die Aminosäure während der Translation zum Ribosom transportiert."
Allel,variant form of a gene
gen,unit of hereditary information
Synapsis,Paarung homologer Chromosomen
Chiasma,Die cytologisch sichtbare Folge von Crossover- Ereignissen.
Crossover,"Das Ereignis, welches zum Austausch genetischen Materials zwischen Chromosomen führt (und dessen Resultat man genetisch verfolgen kann)"
RNA,"Ribonukleinsäure; ein meist einzelsträngiges Nukleinsäuremolekül, das aus Ribonukleotiden besteht und zentrale Funktionen in der Genexpression, Katalyse und Regulation übernimmt."
Spleißosom,"Organell (Großer Ribonukleoprotein-Komplex aus snRNA und Proteinen), das das Spleißen der prä-mRNA katalysiert, indem Introns entfernt und Exons miteinander verknüpft werden."
Nukleolus,"Struktur im Zellkern, in der die rRNA-Synthese und der Zusammenbau der ribosomalen Untereinheiten stattfindet; bildet sich an den Nukleolus-Organisator-Regionen (NORs)."
regulatorische RNA,"Sammelbegriff für nicht-kodierende RNAs, die die Genexpression auf Transkriptions-, posttranskriptioneller oder translationaler Ebene regulieren, z. B. miRNA (microRNA), siRNA oder lncRNA."
Poly-A-Schwanz,"Posttranskriptionelle Modifikation am 3'-Ende eukaryotischer mRNA, bestehend aus einer Kette von Adenin-Nukleotiden, die Stabilität, Export aus dem Zellkern und Translationseffizienz erhöht."
snRNA,Small nuclear RNA; Bestandteil des Spleißosoms und an der Prozessierung von prä-mRNA durch Spleißen beteiligt.
sncRNA,"Small non-coding RNA; Sammelbegriff für kurze nicht-kodierende RNAs, die regulatorische Funktionen in der Genexpression übernehmen."
siRNA,"Small interfering RNA; kurze regulatorische RNA (ca. 21–24 Nukleotide), die durch RNA-Interferenz spezifische mRNA abbaut oder deren Translation hemmt."
RNA-Polymerase,"Enzym, das RNA anhand einer DNA- (oder RNA-) Matrize synthetisiert. In Eukaryoten existieren mehrere Typen (Pol I–III), die unterschiedliche RNA-Klassen transkribieren."
RNA-Polymerase IV,"Pflanzenspezifische RNA-Polymerase, die an der Bildung von siRNAs und der RNA-gerichteten DNA-Methylierung beteiligt ist."
Replikation,"Prozess der Verdopplung der DNA vor der Zellteilung, bei dem eine identische Kopie des Genoms durch DNA-abhängige DNA-Polymerasen synthetisiert wird."
reverse Transkription,"Synthese von DNA aus einer RNA-Matrize durch das Enzym Reverse Transkriptase, typisch für Retroviren und bestimmte mobile genetische Elemente."
mtDNA,"Mitochondriale DNA; ringförmiges Genom der Mitochondrien, das für einen Teil der mitochondrialen Proteine sowie rRNAs und tRNA kodiert."
nDNA,Nukleäre DNA; die im Zellkern lokalisierte Hauptform des eukaryotischen Genoms.
cpDNA,"Chloroplasten-DNA; ringförmiges Genom der Chloroplasten, das für Gene der Photosynthese sowie eigene rRNAs und tRNA kodiert."
miRNA (microRNA),"MicroRNA; kurze regulatorische RNA (ca. 20–22 Nukleotide), die durch Basenpaarung mit Ziel-mRNA deren Translation hemmt oder deren Abbau fördert."
ncRNA,"Non-coding RNA; Sammelbegriff für alle RNAs, die nicht in Proteine übersetzt werden, aber strukturelle, katalytische oder regulatorische Funktionen besitzen."
rRNA,"Ribosomale RNA; struktureller und katalytischer Bestandteil der Ribosomen, der maßgeblich an der Peptidbindung während der Translation beteiligt ist."
Spleißen,Entfernen der Introns
Exon,Für RNA und Protein kodierender Ab- schnitt eines gespaltenen Gens. Bleibt beim Verspleißen erhalten
Intron,"Abschnitt eines gespaltenen Gens, der beider Reifung der RNA (Verspleißen) herausgeschnitten und demzufolge nicht in Protein übersetzt wird"
hnRNA,"RNA-Klasse heterogener Größe, die im Kern lokalisiert ist und zu der vor allem die Vorläufer der mRNA gehören, die im Kern in unreifer Form als Primärtranskripte vorliegen"
Primärtranskript,"Das unmittelbare Produkt der Transkription eines Gens. Bei eukaryotischen proteincodierenden Genen entspricht es der prä-mRNA (hnRNA) und wird durch Prozessierungsschritte wie 5'-Capping, Spleißen und Polyadenylierung zur reifen mRNA verarbeitet."
RNA-Polymerase V,ranskribiert ``intergenic long ncRNA''
Protein-Kinase,"Enzym, das Proteine durch Übertragung einer Phosphatgruppe (meist von ATP auf Serin-, Threonin- oder Tyrosinreste) phosphoryliert und dadurch deren Aktivität, Interaktionen oder Lokalisation reguliert."
Helikase,"Enzym, das Nukleinsäure-Doppelstränge (DNA oder RNA) unter ATP-Verbrauch entwinden und trennen kann, z. B. während Replikation oder Transkription."
RNA-Polymerase II,"Im Nukleoplasma lokalisierte RNA-Polymerase, die die Synthese der 5S‑rRNAs, tRNA, snRNA und weiterer kleiner RNAs katalysiert"
RNA-Polymerase III,"Im Nukleoplasma lokalisierte RNA-Polymerase, die für die Synthese der mRNA bzw. ihrer Vorläufer, die hnRNA, sowie miRNA (microRNA) zuständig ist"
RNA-Polymerase I,"Im Nukleolus lokalisierte RNA-Polymerase, die für die Synthese der rRNAs (außer der 5S‑rRNA) verantwortlich ist"
Transkription,Die Synthese von RNA anhand einer DNA-Matrize
Translation,Proteinsynthese an einer RNA-Matrize mittels Ribosomen
Syntenie,Physikalische Ko-Lokalisierung von genetischen Loci (Reihenfolge von Loci) auf äquivalenten Chromosomen verschiedener Spezies
tRNA,"NA-Moleküle, die wäh- rend der Translation spezifische Aminosäuren zu den Ribosomen transportieren"
Orthologie,"Gene in unterschiedlichen Arten, die von einer gemeinsamen Sequenz abstammen. Sie können die gleiche Funktion haben, müssen es aber nicht."
Paralogie,"homologe Gene in einer Art, die durch Duplikation entstanden sind"
Homologie,Ähnlichkeit biologischer Strukturen oder Sequenzen aufgrund gemeinsamer evolutionärer Abstammung
Open Reading Frame (ORF),"Leserahmen einer mRNA, der zwischen Startcodon (AUG) und Stopcodon liegt und die Information für die Proteinsequenz enthält."
Interaktom,Gesamtheit aller Protein-Protein-Interaktionen
Proteom,"Gesamtheit aller Proteine in einer Zelle, Gewebe, Organismus unter geg. Bedingungen (abh. von mRNA und Proteinmenge, -stabilität, -modifikationen)"
Transkriptom,"Gesamtheit aller (auf RNA-Ebene) exprimierten Gene Gesamtheit aller (auf RNA-Ebene) exprimierten Gene (inkl. mRNA, tRNA, rRNA, ncRNA, miRNA (microRNA), ...)"
Genom,"Alle Erbinformationen (DNA-Sequenzen, Gene), inkl. der aus bspw. den Mitochondrien."
nucleares Genom,Die Erbinformationen aus dem Zellkern.
Plastom,Die Erbinformationen aus den Chlorpolasten; das Chlorpolasten-Genom
Chondrom,Die Erbinformationen aus den Mitochondrien; das Mitochondrien-Genom
Chaperone,"ATPase, die die korrekte Faltung neu‐synthetisierter oder fehlgefalteter Proteine erleichtert"
Signal-Peptidase,"Proteinspaltendes Enzym (Protease), die an der Membran des Endoplasmatischen Retikulums (ER) innerhalb der Zelle lokalisiert sind. Erkennt spezielle Aminosäuresequenzen (Signalsequenzen) innerhalb eines Proteins. Sie spaltet im Lumen des ER das Signalpeptid von der restlichen Polypeptidkette ab"
Translocon,"Proteinkanal in biologischen Membranen, dessen Funktion darin besteht, Polypeptide durch die Membran zu transportieren oder sie in die Lipid-Doppelschicht einzubetten"
Signal Recognition Particle,"Ribonukleoprotein, das am cotranslationalen Transport von Proteinen in das endoplasmatische Retikulum (ER) von Eukaryoten und die Plasmamembran von Prokaryoten beteiligt ist"
FG-Repeat,"kleine hydrophobe Segmente, die lange Abschnitte hydrophiler Aminosäuren unterbrechen. Diese flexiblen Abschnitte bilden entfaltete oder ungeordnete Segmente ohne feste Struktur.[6] Sie bilden ein Kettengeflecht, durch das kleinere Moleküle diffundieren können, das jedoch große hydrophile Makromoleküle ausschließt. Diese großen Moleküle können eine Kernpore nur passieren, wenn sie von einem Signalmolekül begleitet werden, das vorübergehend mit dem FG-Wiederholungssegment eines Nukleoporins interagiert"
Nukleoporin,"Eine Proteinfamilie, aus der der Kernporenkomplex aufgabaut ist"
N-terminus,Aminogruppe am Anfang eines Proteins
guanine nucleotude exchange factor,"Proteine oder Proteindomänen, die monomere GTPasen aktivieren, indem sie die Freisetzung von Guanosindiphosphat (GDP) anregen, um die Bindung von Guanosintriphosphat (GTP) zu ermöglichen"
GTPase-activating protein,"Eine Familie von regulatorischen Proteinen, deren Mitglieder an aktivierte G-Proteine binden und deren GTPase-Aktivität stimulieren können, wodurch der Signalweg beendet wird"
