Was sind beispiele für DNA-abhängige DNA-Polymerasen und wo werden sie eingesetzt?,"Replikation, Taq-Polymerase"
Was sind beispiele für DNA-abhängige RNA-Polymerasen und wo werden sie eingesetzt?,"Transkription, Primase bei Replikation"
Wo werden RNA-abhängige DNA-Polymerasen eingesetzt?,reverse Transkription (RNA-Viren)
Wo werden RNA-abhängige RNA-Polymerasen eingesetzt?,"post-transcriptional gene silencing (PTGS), ""silencing"""
Worin unterscheidet sich die zeitliche Kopplung von Transkription und Translation bei Pro- und Eukaryoten?,"Bei Prokaryoten läuft die Translation (fast) gleichzeitig mit der Transkription ab (gekoppelt, am selben Ort). Bei Eukaryoten sind beide Prozesse räumlich und zeitlich getrennt: Transkription im Zellkern, Translation im Cytoplasma."
Warum brauchen RNA-Polymerasen im Gegensatz zu DNA-Polymerasen keinen Primer?,RNA-Polymerasen können die Synthese de novo starten -- sie initiieren die RNA-Kette ohne vorgelegtes freies 3'-OH-Ende. DNA-Polymerasen dagegen können nur an ein bestehendes 3'-OH-Ende (Primer) anknüpfen.
Welcher Strang der DNA-Doppelhelix dient als Vorlage für die Transkription?,"Je nach Gen kann mal der eine, mal der andere Strang als Matrize (Vorlage) verwendet werden -- es ist nicht immer derselbe Strang. Katalysiert wird die Synthese von einer DNA-abhängigen RNA-Polymerase."
Wie lautet die (vereinfachte) Reaktionsgleichung der Transkription?,"DNA + n NTP --(RNA-Polymerase)--> DNA + RNA + n PP. Die DNA bleibt erhalten (dient nur als Matrize), pro eingebautem Nukleotid wird ein Pyrophosphat (PP) freigesetzt."
"Wie unterscheidet man RNA-Klassen grob, und wie verändert sich der Anteil nicht-kodierender RNA (ncRNA) mit der Komplexität?",Man unterscheidet protein-kodierende (coding) RNA und nicht-kodierende RNA (ncRNA). Der Anteil der ncRNA steigt mit zunehmender Komplexität eines Organismus. Es werden laufend neue RNA-Klassen entdeckt (benannt nach Funktion oder Lokalisation).
"Welche RNA-Klassen synthetisieren RNA-Pol I, II und III jeweils?","Pol I: die großen rRNAs (28S, 18S, 5.8S). Pol II: hnRNA/Primärtranskripte, mRNA, viele miRNAs, einige snRNAs. Pol III: tRNA, 5S-rRNA, einige snRNAs (z.B. U6)."
"Von welcher Polymerase werden snRNA, miRNA und siRNA transkribiert?","snRNA: teils Pol II, teils Pol III (z.B. U6 durch Pol III). miRNA (20--22 nt): Pol II. siRNA (24 nt, v.a. Pflanzen): Pol IV und Pol V, unter Beteiligung einer RdRP."
Wie ist eine eukaryotische RNA-Polymerase grob aufgebaut?,"Als großer Multiprotein-Komplex aus mehreren Untereinheiten (bis ca. 12) mit konserviertem katalytischem Kern. Besonderheit der Pol II: eine C-terminale Domäne (CTD) an der größten Untereinheit, die während der Initiation/Elongation phosphoryliert wird."
"Wo werden die eukaryotischen Ribosomen zusammengebaut, und wie entsteht der Nukleolus?","Die Ribosomen werden im Nukleolus zusammengebaut. Der Nukleolus geht vom Nukleolus-Organisator aus, der aus der NOR (nucleolus organizer region) entsteht."
"Was ist mit der ""sichtbaren Genexpression"" der rDNA gemeint?","Bei der rDNA kann man die Genexpression direkt ""sehen"" (z.B. als ""Weihnachtsbaum""-Struktur im Elektronenmikroskop), weil das Genprodukt selbst RNA (rRNA) ist und nicht erst in ein Protein übersetzt werden muss."
Was muss man über die Enden der eukaryotischen mRNA wissen (Vergleich zu prokaryotischer)?,"Beide Enden sind modifiziert: am 5'-Ende eine Cap-Struktur (m7Gppp), am 3'-Ende ein Poly(A)-Schwanz. Beide schützen die mRNA vor Abbau und fördern die Translation. Prokaryotische mRNA besitzt diese Modifikationen nicht."
Nenne die funktionellen Elemente der eukaryotischen mRNA (5'->3') und ihre Funktion,"5'-Cap (m7G/GTP): Schutz vor Abbau, Bindung des Ribosoms. Leader (5'-UTR): Ribosomenbindung. AUG: Startcodon (Translationsbeginn mit Methionin). ORF: kodiert die Aminosäure-Abfolge. Stopcodon (UGA/UAA/UAG): keine beladene tRNA vorhanden. Trailer (3'-UTR) mit AAUAAA: Signal für Schnitt und Polyadenylierung. Poly(A)-Schwanz: Stabilisierung der mRNA."
"Was muss man über den Poly(A)-Schwanz wissen (Länge, Herkunft, Enzym, Bindeprotein, Funktion)?","Etwa 200 nt lang und NICHT im Genom kodiert. Wird nach dem Abschneiden des Transkripts von der Poly(A)-Polymerase angehängt und von PABP (poly(A)-binding protein) gebunden. Er stabilisiert die mRNA und erleichtert (mit PABP) die Translation. Bei stabilen, effizient translatierten mRNAs kann er auch kurz sein ( 30 Adenosinreste)."
Was ist Deadenylierung und welche Folge hat sie?,"Die Entfernung bzw. Verkürzung des Poly(A)-Schwanzes. Dadurch löst sich PABP ab, was den Abbau der mRNA einleitet."
Wodurch wird die Halbwertszeit einer mRNA reguliert (trotz Poly(A))?,"Durch spezielle Signale in der mRNA-Sequenz, oft im Trailer (3'-UTR). Eine mRNA kann trotz vorhandenem Poly(A)-Schwanz sehr kurzlebig sein."
"Was bestimmt der Promotor, und wie unterscheidet er sich bei Eu- vs. Prokaryoten?","Der Promotor bestimmt den Start (und die Richtung) der Transkription; er ist durch spezifische DNA-Sequenzen (""Boxen"") charakterisiert. Bei Eukaryoten ist er komplexer organisiert als bei Prokaryoten. Jede RNA-Polymerase erkennt ihre eigenen, spezifischen Promotorsequenzen, die ihre Zielgene definieren."
Wie ist der Promotor der RNA-Pol I aufgebaut und was transkribiert sie?,"Pol I transkribiert die 28S-, 18S- und 5.8S-rRNA. Ihr Promotor liegt extern (upstream, vor dem Transkriptionsstart) und besteht aus dem Core-Promotor + UCE (upstream control element)."
Wie ist der Promotor der RNA-Pol II aufgebaut und was transkribiert sie?,"Pol II transkribiert mRNA, hnRNA, viele miRNAs und einige snRNAs. Ihr Promotor liegt extern (upstream): häufig eine TATA-Box ( -25) und/oder ein Inr, oft zusätzlich CAAT-Box, GC-Box und weitere regulatorische Elemente."
Wie ist der Promotor der RNA-Pol III aufgebaut und was transkribiert sie?,"Pol III transkribiert tRNA, 5S-rRNA und einige snRNAs. Ihr Promotor liegt meist intern -- häufig innerhalb des transkribierten Gens (interner Promotor), z.B. Box A und Box B."
Wie unterscheiden sich die Promotoren der drei RNA-Polymerasen grundsätzlich?,"Pol I und Pol II nutzen externe (upstream) Promotoren, die vor dem Gen liegen. Pol III nutzt meist einen internen Promotor innerhalb des transkribierten Gens. Zudem hat jede Polymerase eigene charakteristische Promotorelemente (Pol I: Core + UCE; Pol II: TATA/Inr etc.; Pol III: Box A/B)."
"Was ist am TBP (TATA-Box-bindendes Protein) besonders (Bindung, Struktur, Rolle)?",TBP bindet in der kleinen Grube (minor groove) der DNA und besteht aus zwei Domänen mit ca. 40 \% Identität. Es ist ein zentraler Faktor der Promotorerkennung bei ALLEN drei RNA-Polymerasen.
Ordne die regulatorischen DNA-Elemente eukaryotischer Promotoren in drei Kategorien ein (mit Beispielen),"Core-Promotor: TATA-Box, Inr, BRE, DPE, MTE. Proximale Promotorelemente: CAAT-Box, GC-Box. Distale regulatorische Elemente: UAS, URS, RE, Enhancer, Silencer."
"Was reicht für die basale Transkription aus, und warum ist sie in vivo unterdrückt?","In vielen experimentellen Systemen reicht ein Promotor mit nur Inr und TATA-Box für die basale Transkription. In vitro läuft sie ab; in vivo ist sie jedoch stark moduliert/unterdrückt, weil ohne regulatorische Faktoren nur eine Grundaktivität entsteht, die in der Zelle durch Chromatin und Regulatoren kontrolliert wird."
Welche Core-Promotor-Elemente der RNA-Pol II kommen in unterschiedlichen Kombinationen vor?,"BRE, TATA-Box, Inr und DPE. Sie treten in verschiedenen Kombinationen auf und bestimmen gemeinsam die Transkriptionskontrolle der Pol II."
Wie können weit entfernte regulatorische Elemente (z.B. Enhancer) auf ein Gen wirken (2D vs. 3D)?,In der linearen 2D-Darstellung sind sie weit vom Gen entfernt. In der 3D-Organisation des Chromatins werden sie durch Schleifenbildung (looping) räumlich an den Promotor herangebracht und können so direkt auf die Transkription wirken.
Was ist der Unterschied zwischen allgemeinen (GTFs) und regulatorischen Transkriptionsfaktoren (R-TFs)?,Allgemeine TFs (GTFs) sind für die basale Transkription notwendig und bilden mit der Pol II den Initiationskomplex. Regulatorische TFs (R-TFs) beeinflussen die Transkriptionsrate spezifisch (aktivierend oder reprimierend).
Nenne die allgemeinen Transkriptionsfaktoren der RNA-Pol II und ihre Hauptfunktion,"TFIID: mit TBP Erkennung der TATA-Box, mit TAFs Erkennung TATA-freier Promotoren und regulatorische Funktionen. TFIIA: stabilisiert die TFIID-Bindung. TFIIB: bindet die Pol II. TFIIF: führt die Pol II an den Promotor heran. TFIIE: führt TFIIH heran und reguliert dessen Aktivität. TFIIH: Helikase (Entwindung des Promotors) und Protein-Kinase (Phosphorylierung der CTD der Pol II)."
Welche enzymatischen Aktivitäten hat TFIIH und welche Untereinheiten gehören dazu?,"Zwei DNA-Helikasen zur Promotor-Entwindung: XPB (3'->5') und XPD (5'->3'). Außerdem eine cyclinabhängige Protein-Kinase CDK7 (mit Cyclin H als regulatorischer Untereinheit), die die CTD der Pol II phosphoryliert."
Was ist der Präinitiationskomplex (PIC) und woraus besteht er?,"Der Protein-Komplex, der sich am Core-Promotor der RNA-Pol II bildet, bevor die Transkription startet. Er besteht aus der RNA-Pol II und den allgemeinen Transkriptionsfaktoren TFIIA, TFIIB, TFIID, TFIIE, TFIIF und TFIIH."
"In welche drei Schritte lässt sich die Elongationsphase unterteilen, und wie viele Faktoren sind beteiligt?",i) Erkennung des Codons durch die Aminoacyl-tRNA; ii) Ausbildung der Peptidbindung zwischen zwei Aminosäuren; iii) Verschiebung (Translokation) des tRNA-mRNA-Komplexes. An diesen Prozessen sind vier eEFs (eukaryotische Elongationsfaktoren) beteiligt.
Wie läuft die Termination (der Translation) über Stopcodons und Release-Faktoren ab?,"Gelangt ein Stopcodon (UAA, UAG oder UGA) in die A-Position des Ribosoms, kann keine tRNA binden (es gibt keine tRNA, die diese Tripletts erkennt). Die Release-Faktoren RF1 und RF2 erkennen die Stopcodons; ihre Bindung an die A-Stelle führt zur Abspaltung der Polypeptidkette von der tRNA in der P-Position, und das Ribosom zerfällt in seine Untereinheiten."
"Wie unterscheidet sich die Termination der Transkription bei RNA-Pol I, II und III?","Pol I: klares Terminationssignal (18-bp-Sequenz + Hilfsfaktor). Pol II: KEIN klares Signal -> ""Torpedo""-Modell. Pol III: klares Signal ((G/C)n UUUU (G/C)n). Die Einzelheiten sind bei Eukaryoten wenig bekannt; alle drei Polymerasen nutzen unterschiedliche Mechanismen."
Welche drei Schritte umfasst die Reifung des Primärtranskripts zur fertigen mRNA in Eukaryoten?,1) Anfügen der m7Gppp-Kappe (Cap) am 5'-Ende. 2) Spaltung und Polyadenylierung des 3'-Endes. 3) Spleißen (Entfernen der Introns).
"Warum ist Histon-mRNA eine Ausnahme, und wie wird ihr 3'-Ende gebildet?","Canonical Histon-mRNA hat KEINEN Poly(A)-Schwanz; ihre Expression ist an die Replikation gekoppelt und zellzyklusreguliert. Das 3'-Ende erfordert einen konservierten Hairpin (stem-loop) und das HDE (histone downstream element), das mit der U7-snRNA hybridisiert. Die Schnittreaktion braucht SLBP (stem-loop binding protein) und U7-snRNA; den Schnitt führt CPSF aus (das auch bei Poly(A)-mRNAs schneidet)."
Vergleiche Transkription/Genregulation in Bakterien und Eukaryoten (wesentliche Unterschiede),"Bakterien: kein Zellkern; polycistronische Transkripte; Operons; eine RNA-Pol mit alternativen Sigma-Faktoren; Consensus-Promotoren; Shine-Dalgarno-Sequenz; transkriptionelle Attenuation. Eukaryoten: Zellkern; monocistronische Transkripte; keine Operons; mehrere RNA-Polymerasen für verschiedene Genklassen; sehr diverse Promotoren; Cap statt Shine-Dalgarno; nukleäres Spleißen; Enhancer, Chromatinstruktur sowie generelle und spezielle TFs."
